country_code,year,NE.CON.PRVT.PC.KD,NY.GDP.PCAP.KD
AFW,2021,1471.3911381853,1797.96020238982
AGO,1960,NA,NA
AGO,1961,NA,NA
AGO,1962,NA,NA
AGO,1963,NA,NA
AGO,1964,NA,NA
AGO,1965,NA,NA
AGO,1966,NA,NA
AGO,1967,NA,NA
AGO,1968,NA,NA
AGO,1969,NA,NA
AGO,1970,NA,NA
AGO,1971,NA,NA
AGO,1972,NA,NA
AGO,1973,NA,NA
AGO,1974,NA,NA
AGO,1975,NA,NA
AGO,1976,NA,NA
AGO,1977,NA,NA
AGO,1978,NA,NA
AGO,1979,NA,NA
AGO,1980,NA,2657.0545821115
AGO,1981,NA,2451.44245526579
AGO,1982,NA,2364.94474896605
AGO,1983,NA,2376.7291872836
AGO,1984,NA,2430.01020238189
AGO,1985,NA,2426.03774165296
AGO,1986,NA,2408.94352733045
AGO,1987,NA,2422.54248032412
AGO,1988,NA,2485.89135640114
AGO,1989,NA,2404.48058794991
AGO,1990,NA,2245.14986233344
AGO,1991,NA,2193.2307318334
AGO,1992,NA,1999.16723697919
AGO,1993,NA,1472.40418926403
AGO,1994,NA,1445.1555674591
AGO,1995,NA,1608.1463161945
AGO,1996,NA,1766.15405420205
AGO,1997,NA,1832.48231220505
AGO,1998,NA,1856.55977569568
AGO,1999,NA,1836.82965292745
AGO,2000,NA,1832.51410187734
AGO,2001,NA,1847.87473575957
AGO,2002,1044.95220516906,2031.5037258263
AGO,2003,1092.89915638254,2022.03568436553
AGO,2004,1097.02950526454,2166.14771567742
AGO,2005,1111.93898532369,2404.63116884787
AGO,2006,1141.46732672732,2587.72505707158
AGO,2007,1166.48958216102,2844.81835453549
AGO,2008,1216.3124106018,3048.59400223225
AGO,2009,1293.15547830792,2963.31598756858
AGO,2010,1294.51356507945,2993.42097429645
AGO,2011,1374.53167606336,2983.03261091412
AGO,2012,1454.13940465041,3118.34369907577
AGO,2013,1516.6226065769,3152.70432737825
AGO,2014,1647.02058182212,3185.12240136461
AGO,2015,1635.5020288441401,3100.83068530533
AGO,2016,1670.8894147419,2914.41545872801
AGO,2017,1659.36277605307,2808.52175326664
AGO,2018,1548.15353460027,2677.17781589774
AGO,2019,1404.10769423625,2569.69134652945
AGO,2020,1314.45251234118,2347.78703247628
AGO,2021,1354.99170266057,2299.6405718262
ALB,1960,NA,NA
ALB,1961,NA,NA
ALB,1962,NA,NA
ALB,1963,NA,NA
ALB,1964,NA,NA
ALB,1965,NA,NA
ALB,1966,NA,NA
ALB,1967,NA,NA
ALB,1968,NA,NA
ALB,1969,NA,NA
ALB,1970,NA,NA
ALB,1971,NA,NA
ALB,1972,NA,NA
ALB,1973,NA,NA
ALB,1974,NA,NA
ALB,1975,NA,NA
ALB,1976,NA,NA
ALB,1977,NA,NA
ALB,1978,NA,NA
ALB,1979,NA,NA
ALB,1980,NA,1740.50538249229
ALB,1981,NA,1804.01030684507
ALB,1982,NA,1818.3673437536
ALB,1983,NA,1799.87814510218
ALB,1984,NA,1740.34722580776
ALB,1985,NA,1735.28985772491
ALB,1986,NA,1798.01460877279
ALB,1987,NA,1748.57826220188
ALB,1988,NA,1691.53050586189
ALB,1989,NA,1808.64560434827
ALB,1990,NA,1606.29604693997
ALB,1991,NA,1163.49129356824
ALB,1992,NA,1086.43848680039
ALB,1993,NA,1197.58059375303
ALB,1994,NA,1305.00071868174
ALB,1995,NA,1488.02049135802
ALB,1996,1716.3363514573,1633.55157205372
ALB,1997,1416.73681502298,1464.29757891877
ALB,1998,1348.96021202952,1603.64723014585
ALB,1999,1397.36217321971,1821.87265372461
ALB,2000,1493.46219735294,1960.88194602054
ALB,2001,1567.71166862895,2143.52627790757
ALB,2002,1685.20263673478,2247.49749129938
ALB,2003,1867.31894347291,2380.64399709539
ALB,2004,1944.27632860398,2522.44871361971
ALB,2005,2079.20292990644,2675.50793615524
ALB,2006,2237.24301857038,2851.36701218575
ALB,2007,2541.32182872515,3044.89581910515
ALB,2008,2820.27877456139,3298.47804428531
ALB,2009,2859.61443690829,3432.16997279698
ALB,2010,2921.85183443798,3577.11338784054
ALB,2011,2981.61543986462,3678.04673786035
ALB,2012,2990.39581457855,3736.33910071368
ALB,2013,3050.90138704789,3780.69820205676
ALB,2014,3143.25330183675,3855.75973394744
ALB,2015,3189.70449019574,3952.80253807527
ALB,2016,3262.75610406116,4090.371656678
ALB,2017,3345.55536889189,4249.80373367726
ALB,2018,3461.66346732136,4431.53918098494
ALB,2019,3553.79239930615,4543.38652018643
ALB,2020,3448.10288928765,4410.4551652317105
ALB,2021,3621.82276169497,4830.59631691622
AND,1960,NA,NA
AND,1961,NA,NA
AND,1962,NA,NA
AND,1963,NA,NA
AND,1964,NA,NA
